WIG;DAX;CAC40;FTSE
26152.41;NA;3822.76;6865.9
26203.01;4235.36;3817.69;NA
26060.85;4261.79;3824.83;NA
26470.99;4247.75;3827.16;6896.3
26576.86;4256.08;3827.95;6923.1
26636.19;NA;3821.16;6936.8
26709.54;4291.53;3855.68;NA
26567.4;4290.5;3863.3;6983.4
26052.61;4258.24;3829.36;6915.5
25886.84;4300.94;3856.48;6920.9
25931.41;4316.4;3877.96;6964
25752.76;4307.37;3877.82;6957.2
25626.25;4258.01;3848.99;6952.4
25716.82;4208.82;3816.14;6976.1
25813.12;4212.14;3834.11;7020.3
25767.07;4232.36;3854.6;7049.8
25792.33;4245.51;3881.44;7075.3
25278.43;4250.71;3875.02;7057
25390.45;4245.55;3869.01;7088.8
25333.68;4220.43;3842.44;7091.3
25206.5;4213.7;3854.19;7090.6
25224.11;4201.89;3848.71;7070.4
25421.42;4233.95;3882.04;7098.5
25582.91;4214.12;3879.82;7110.2
25690.17;4216.41;3891.4;7106.9
25792.27;4201.81;3870.35;7106.3
25992.99;4254.85;3913.69;7166.2
26297.25;4279.97;3939.18;7225.4
26231.06;4296.31;3951.72;7257.9
26282.9;4281.64;3928.94;7266.5
26638.88;4339.28;3958.01;7295.4
26934.29;4366.35;3981.9;7320.9
26851.06;4371.39;3980.77;7358.4
26719.79;4353.15;3969.62;7347.5
26877.29;4342.01;3970.37;7345.2
26812.09;4387.8;4016.75;7369.5
26809.34;4386.4;4012.11;7370.1
26964.64;4402.03;4030.45;7363.3
27500.69;4368.77;4009.02;7300
27800.77;4369.68;4005.5;7301.1
27752.76;4359.47;4029.02;7295.5
28019.21;4353.34;4022.62;7234.4
27873.45;4323.21;4002.33;7195.2
27793.65;4310.66;3977.19;7175.4
28073.17;4304.29;3977.67;7184.1
28547.1;4348.64;4034.57;7244.7
28294.49;4350.49;4027.16;7254
28227.26;4383.62;4054.98;7280.8
27434.67;4393.43;4062.72;7260.8
27580.53;4373.27;4061.35;7271.8
27841.23;4423.52;4091.58;7314.3
28007.8;4428.09;4108;7299
27901.05;4396.5;4085.38;7267.6
28218.78;4375.6;4066.69;7253
27992.72;4337.68;4038.21;7231.4
27613.97;4360.49;4049.18;7266.6
27301.23;4367.3;4048.55;7257.4
27347.46;4387.69;4077.74;7263.3
26807.67;4309.11;4019.4;7204.4
26623.79;4315.92;4032.07;7194.7
26850;4327.18;4050.77;7222.9
26411.82;4296.36;4033;7228.5
26840.65;4320.69;4047.18;7200
26801.99;4317.2;4032.41;7087.4
26908.71;4343.6;4078.31;7144
NA;NA;NA;NA
26901.25;4351.89;4081.65;7120.2
27023.61;4347.52;4064.61;7083.6
27268.07;4348.77;4067.78;7130.5
27197.35;4373.53;4080.08;7180.6
27178.62;4341.39;4052.32;7136
27419.37;4362.61;4087.94;7163.3
27582.96;4379.18;4106.99;7217.5
27335.08;4389.52;4124.37;7239.5
NA;4400.68;4124.29;7265.1
27358.29;4396.09;4117.62;7241.9
27325.74;4372.12;4096.81;7227
27311.18;4405.69;4116.85;7244.1
27047.14;4402.05;4111.11;7163.4
26865.92;4312.25;4032.28;7072.2
26345.42;4202.2;3949.59;6931.5
26340.77;4204.61;3962.39;6999.1
26082.65;4178.62;3950.02;6981.7
26342.65;4193.7;3951.02;6970.4
26534.04;4223.04;3980.18;7012.9
26565.22;4246.96;3993.07;7016.8
26311.65;4233.76;3993.04;6953.7
25939.43;4189.02;3927.68;6828.7
25726.44;4178.1;3911.45;6738.8
25813.59;4184.84;3911.71;6728.9
25887.04;4224.02;3938.77;NA
NA;4245.54;3955.93;6786.9
25856.91;4264.35;3987.63;6744
25975.86;4299.51;4019.35;6790.7
25977.64;4311.06;4033.46;6780.8
26000.59;4292.41;4020.19;6790
25624.19;4251.13;4000.25;6744.9
25736.82;4244.16;3979.53;6743.4
25839.03;4267.05;4015.65;6807.2
25662.59;4275.7;4017.89;6795
25617.02;4262.18;4010.98;6805.5
25718.46;4251.77;4006.19;6830.7
26092.87;4324.6;4073.15;6857
26187.95;4360.42;4085.98;6931.1
26324;4360.68;4096.18;6934.3
26303.65;4406.95;4118.37;6987
26216.36;4396.64;4102.06;7001.7
26279.48;4389.54;4100.27;7019.3
NA;4436.6;4137.28;7092.4
26712.73;4444.71;4131.83;7105.4
26744.52;4480.43;4134.87;NA
26744.36;4460.63;4120.73;7114.3
26499.16;4527.17;4178.25;7148.2
26793.57;4532.17;4183.72;7169.5
26974.61;4510.39;4162.47;7204.8
27335.87;4497.26;4146.47;7190.5
27441.93;4566.01;4180.74;7243.3
27425.43;4557.29;4171.35;7227.3
27521.19;4562.75;4153.71;7219.3
27574.66;4586.1;4184.1;7264.2
27688.28;4599.21;4203.49;7307.7
27465.18;4591.69;4197.74;7289.8
27827.4;4548.42;4184.36;7258.7
27819.48;4579.87;4185.15;7317.9
27985.85;4604.57;4220.91;7354.9
27996.8;4586.86;4193.4;7335.7
28041.32;4608.11;4222.02;7303.4
28394.28;4619.6;4229.55;7343.7
28336.22;4627.48;4240.18;7381.7
28071.26;4566.48;4199.87;7328.8
27899.23;4523.82;4157.68;7266.4
28108.72;4557.46;4194.33;7310.4
28089.84;4583.63;4231.88;7329.1
28332.05;4586.28;4229.35;7368.7
28620.07;4617.07;4269.62;7446.2
28884.29;4623.41;4264.6;7434.5
28748.36;4603.65;4252.75;7407.4
28908.94;4615.49;4279.95;7496.9
28564.5;4530.18;4220.62;7387.9
28925.62;4597.97;4300.31;7518.7
28922;4663.38;4321.56;7567.4
29248.18;4653.03;4313.78;7537.2
29480.61;4679.89;4343.62;7541.7
29516.37;4699.27;4370.88;7508.7
29430.52;4712.9;4373.77;7470.8
29238.99;4719.57;4363.47;7435
29332.47;4770.54;4424.25;7415.1
29501.51;4784.5;4418.39;7434.6
